2025-04-03 04:17:47.225986: Starting overnight training with the following parameters:
2025-04-03 04:17:47.225986: Total timesteps: 2000000
2025-04-03 04:17:47.226987: Learning rate: 0.0003
2025-04-03 04:17:47.226987: Batch size: 512
2025-04-03 04:17:47.227987: Buffer size: 200000
2025-04-03 04:17:47.227987: Exploration noise: 0.3
2025-04-03 04:17:47.228988: Models directory: ./ddpg_models/20250403_041747/
2025-04-03 04:17:47.228988: Log directory: ./ddpg_pyrace_tensorboard/20250403_041747/
2025-04-03 04:17:47.228988: Visualization enabled: True
2025-04-03 04:17:47.272002: Set view=True on RaceEnv
2025-04-03 04:17:48.148299: Loading checkpoint ./ddpg_models/ddpg_pyrace_v3_final.zip to continue training
2025-04-03 04:17:48.166305: 
Starting overnight training...
2025-04-03 04:17:48.166305: Visualization enabled. Press 'm' to toggle visualization mode, 'q' to quit.
2025-04-03 04:17:48.218323: Could not find PyRace2D object directly
2025-04-03 05:53:43.752302: Steps: 125000/2000000, FPS: 21.7, Time remaining: 23h 59m 7s
2025-04-03 05:54:31.415821: Steps: 126000/2000000, FPS: 21.7, Time remaining: 23h 58m 45s
2025-04-03 05:55:18.382583: Steps: 127000/2000000, FPS: 21.7, Time remaining: 23h 58m 12s
2025-04-03 05:56:05.179910: Steps: 128000/2000000, FPS: 21.7, Time remaining: 23h 57m 36s
2025-04-03 05:56:51.952110: Steps: 129000/2000000, FPS: 21.7, Time remaining: 23h 57m 0s
2025-04-03 05:57:38.675793: Steps: 130000/2000000, FPS: 21.7, Time remaining: 23h 56m 24s
2025-04-03 05:58:25.392497: Steps: 131000/2000000, FPS: 21.7, Time remaining: 23h 55m 46s
2025-04-03 05:59:12.091763: Steps: 132000/2000000, FPS: 21.7, Time remaining: 23h 55m 9s
2025-04-03 05:59:58.928006: Steps: 133000/2000000, FPS: 21.7, Time remaining: 23h 54m 33s
2025-04-03 06:00:45.896778: Steps: 134000/2000000, FPS: 21.7, Time remaining: 23h 53m 59s
2025-04-03 06:01:32.581453: Steps: 135000/2000000, FPS: 21.7, Time remaining: 23h 53m 21s
2025-04-03 06:02:19.310735: Steps: 136000/2000000, FPS: 21.7, Time remaining: 23h 52m 43s
2025-04-03 06:03:06.150960: Steps: 137000/2000000, FPS: 21.7, Time remaining: 23h 52m 7s
2025-04-03 06:03:52.780145: Steps: 138000/2000000, FPS: 21.7, Time remaining: 23h 51m 28s
2025-04-03 06:04:39.773208: Steps: 139000/2000000, FPS: 21.7, Time remaining: 23h 50m 53s
2025-04-03 06:05:26.459970: Steps: 140000/2000000, FPS: 21.7, Time remaining: 23h 50m 14s
2025-04-03 06:06:13.121654: Steps: 141000/2000000, FPS: 21.7, Time remaining: 23h 49m 35s
2025-04-03 06:06:59.719803: Steps: 142000/2000000, FPS: 21.7, Time remaining: 23h 48m 55s
2025-04-03 06:07:46.343460: Steps: 143000/2000000, FPS: 21.7, Time remaining: 23h 48m 15s
2025-04-03 06:08:33.086236: Steps: 144000/2000000, FPS: 21.7, Time remaining: 23h 47m 37s
2025-04-03 06:09:20.036024: Steps: 145000/2000000, FPS: 21.7, Time remaining: 23h 47m 1s
2025-04-03 06:10:06.875772: Steps: 146000/2000000, FPS: 21.7, Time remaining: 23h 46m 23s
2025-04-03 06:10:53.571958: Steps: 147000/2000000, FPS: 21.7, Time remaining: 23h 45m 44s
2025-04-03 06:11:40.330241: Steps: 148000/2000000, FPS: 21.7, Time remaining: 23h 45m 5s
2025-04-03 06:12:26.992408: Steps: 149000/2000000, FPS: 21.7, Time remaining: 23h 44m 25s
2025-04-03 06:13:13.709103: Steps: 150000/2000000, FPS: 21.7, Time remaining: 23h 43m 46s
2025-04-03 06:14:00.407782: Steps: 151000/2000000, FPS: 21.7, Time remaining: 23h 43m 6s
2025-04-03 06:14:47.179079: Steps: 152000/2000000, FPS: 21.7, Time remaining: 23h 42m 27s
2025-04-03 06:15:33.925285: Steps: 153000/2000000, FPS: 21.7, Time remaining: 23h 41m 47s
2025-04-03 06:16:20.601962: Steps: 154000/2000000, FPS: 21.6, Time remaining: 23h 41m 7s
2025-04-03 06:17:07.348673: Steps: 155000/2000000, FPS: 21.6, Time remaining: 23h 40m 28s
2025-04-03 06:17:54.106972: Steps: 156000/2000000, FPS: 21.6, Time remaining: 23h 39m 48s
2025-04-03 06:18:40.774644: Steps: 157000/2000000, FPS: 21.6, Time remaining: 23h 39m 7s
2025-04-03 06:19:27.713406: Steps: 158000/2000000, FPS: 21.6, Time remaining: 23h 38m 30s
2025-04-03 06:20:14.542648: Steps: 159000/2000000, FPS: 21.6, Time remaining: 23h 37m 51s
2025-04-03 06:21:01.478919: Steps: 160000/2000000, FPS: 21.6, Time remaining: 23h 37m 13s
2025-04-03 06:21:48.225687: Steps: 161000/2000000, FPS: 21.6, Time remaining: 23h 36m 33s
2025-04-03 06:22:35.169960: Steps: 162000/2000000, FPS: 21.6, Time remaining: 23h 35m 55s
2025-04-03 06:23:22.006699: Steps: 163000/2000000, FPS: 21.6, Time remaining: 23h 35m 15s
2025-04-03 06:24:08.775410: Steps: 164000/2000000, FPS: 21.6, Time remaining: 23h 34m 35s
2025-04-03 06:24:55.573723: Steps: 165000/2000000, FPS: 21.6, Time remaining: 23h 33m 55s
2025-04-03 06:25:42.403444: Steps: 166000/2000000, FPS: 21.6, Time remaining: 23h 33m 16s
2025-04-03 06:26:29.107140: Steps: 167000/2000000, FPS: 21.6, Time remaining: 23h 32m 35s
2025-04-03 06:27:15.723309: Steps: 168000/2000000, FPS: 21.6, Time remaining: 23h 31m 53s
2025-04-03 06:28:02.556534: Steps: 169000/2000000, FPS: 21.6, Time remaining: 23h 31m 13s
2025-04-03 06:28:49.245800: Steps: 170000/2000000, FPS: 21.6, Time remaining: 23h 30m 31s
2025-04-03 06:29:36.086027: Steps: 171000/2000000, FPS: 21.6, Time remaining: 23h 29m 51s
2025-04-03 06:30:22.821221: Steps: 172000/2000000, FPS: 21.6, Time remaining: 23h 29m 10s
2025-04-03 06:31:09.667947: Steps: 173000/2000000, FPS: 21.6, Time remaining: 23h 28m 30s
2025-04-03 06:31:56.269679: Steps: 174000/2000000, FPS: 21.6, Time remaining: 23h 27m 48s
2025-04-03 06:32:43.354981: Steps: 175000/2000000, FPS: 21.6, Time remaining: 23h 27m 10s
2025-04-03 06:33:30.011144: Steps: 176000/2000000, FPS: 21.6, Time remaining: 23h 26m 28s
2025-04-03 06:34:16.817872: Steps: 177000/2000000, FPS: 21.6, Time remaining: 23h 25m 47s
2025-04-03 06:35:03.572578: Steps: 178000/2000000, FPS: 21.6, Time remaining: 23h 25m 6s
2025-04-03 06:35:50.431380: Steps: 179000/2000000, FPS: 21.6, Time remaining: 23h 24m 26s
2025-04-03 06:36:37.222616: Steps: 180000/2000000, FPS: 21.6, Time remaining: 23h 23m 45s
2025-04-03 06:37:24.146367: Steps: 181000/2000000, FPS: 21.6, Time remaining: 23h 23m 5s
